exp,epoch,roc_auc,roc_ci,pr_auc,pr_ci,recall,precision,fn,fp
E0_baseline,2,0.8948,"[0.872, 0.916]",0.1588,"[0.116, 0.234]",0.0,0.0,117,1
E1_previous_wrs,1,0.9034,"[0.877, 0.927]",0.1844,"[0.136, 0.259]",0.427,0.188,67,216
E1_seed0,0,0.8895,"[0.863, 0.918]",0.2075,"[0.149, 0.295]",0.65,0.114,41,590
E1_seed1,0,0.899,"[0.872, 0.924]",0.2021,"[0.148, 0.279]",0.675,0.116,38,602
E2_multimodal,0,0.905,"[0.883, 0.928]",0.151,"[0.111, 0.204]",0.752,0.106,29,743
E2_seed0,0,0.9011,"[0.878, 0.923]",0.1917,"[0.139, 0.265]",0.564,0.144,51,392
E3_abl_image_only,1,0.9034,"[0.877, 0.927]",0.1844,"[0.136, 0.259]",0.427,0.188,67,216
E4_abl_no_age,0,0.9142,"[0.895, 0.935]",0.22,"[0.162, 0.308]",0.726,0.102,32,748
E5_abl_no_sex,7,0.914,"[0.894, 0.933]",0.2047,"[0.149, 0.282]",0.12,0.368,103,24
E6_abl_no_site,5,0.8997,"[0.874, 0.924]",0.1948,"[0.138, 0.267]",0.205,0.3,93,56
E7_imagelevel_wrs,3,0.8975,"[0.872, 0.921]",0.2163,"[0.156, 0.303]",0.248,0.312,88,64
